season,player_id,first_name,last_name,player_name,position,height_wo_shoes,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press
2023,1641740,Jaylen,Clark,Jaylen Clark,SG,76.0,77.25,204.2,81.0,101.5,6.1,8.5,9.0,30.0,36.0,11.024999999999999,3.08,3.22,10.0
2023,1641741,Ricky,Council IV,Ricky Council IV,SF,77.0,79.75,208.0,81.0,103.0,6.7,7.75,8.5,30.5,37.0,11.2,3.21,3.33,10.0
2023,1641743,Nikola,Djurisic,Nikola Djurisic,SF,79.0,79.75,217.6,80.25,102.0,6.7,8.25,9.5,29.5,35.0,11.36,3.125,3.285,10.0
2023,1641744,Zach,Edey,Zach Edey,C,87.25,83.75,306.4,94.5,115.5,8.0,9.75,11.0,26.0,29.5,11.37,3.26,3.45,11.0
2023,1641745,Adam,Flagler,Adam Flagler,PG,73.0,74.0,191.8,76.5,97.0,6.1,8.0,9.25,31.0,36.0,10.96,3.0599999999999996,3.24,8.0
2023,1629618,Jalen,Pickett,Jalen Pickett,PG,74.0,74.0,197.8,79.25,98.5,6.1,8.5,7.5,28.5,33.0,11.91,3.41,3.35,8.0
2023,1641749,Keyontae,Johnson,Keyontae Johnson,SF,76.0,79.75,238.6,84.0,103.0,6.7,9.0,9.0,29.5,35.0,11.36,3.125,3.285,10.0
2022,1631215,Khalifa,Diop,Khalifa Diop,C,82.25,83.75,248.8,87.75,110.5,8.0,9.25,10.0,27.0,30.5,12.03,3.26,3.42,11.0
2022,1631217,Moussa,Diabate,Moussa Diabate,C,81.25,82.25,216.6,86.5,109.5,2.7,8.5,10.5,29.0,36.5,11.16,2.9,3.26,11.0
2022,1631230,Dominick,Barlow,Dominick Barlow,PF,80.75,81.75,221.0,87.0,108.5,5.9,9.0,10.5,28.5,34.0,11.29,3.19,3.33,12.0
2022,1631223,David,Roddy,David Roddy,PF,76.5,78.0,260.8,83.5,105.0,11.6,8.75,10.0,27.0,35.5,10.75,3.1,3.22,12.0
2022,1631222,Jake,LaRavia,Jake LaRavia,PF,78.75,80.0,227.2,81.5,104.0,9.0,8.5,10.25,27.5,34.0,10.58,2.89,3.37,12.0
2022,1631211,Trevor,Keels,Trevor Keels,SG,75.25,76.75,223.8,79.25,101.0,13.5,8.25,9.0,24.5,31.0,11.33,3.32,3.27,10.0
2022,1631207,Dalen,Terry,Dalen Terry,SG,78.0,79.25,195.2,84.75,106.0,5.4,8.5,9.0,30.0,36.0,11.024999999999999,3.08,3.22,10.0
2022,1631212,Peyton,Watson,Peyton Watson,SF,78.75,80.0,203.4,84.5,107.5,5.2,8.5,9.5,28.0,33.5,11.03,3.24,3.28,10.0
2022,1631213,Tyrese,Martin,Tyrese Martin,SG-SF,76.875,78.2,206.1,82.0,103.0,6.7,8.75,9.5,30.0,35.5,11.3,3.14,3.23,9.0
2022,1631129,Iverson,Molinar,Iverson Molinar,PG,74.25,75.25,183.2,80.0,101.0,4.8,8.5,9.5,31.0,38.0,11.23,3.1,3.19,8.0
2022,1631130,Ismael,Kamagate,Ismael Kamagate,PF,79.75,81.0,233.4,85.125,106.5,7.865,9.0,9.75,28.5,34.0,11.47,3.14,3.29,12.0
2022,1631220,Dereon,Seabron,Dereon Seabron,SG,76.75,77.75,182.4,80.75,103.5,4.0,8.5,9.5,30.5,38.0,11.03,3.04,3.12,10.0
2022,1631219,John,Butler Jr.,John Butler Jr.,PF,83.75,84.75,174.4,86.25,112.0,4.7,8.5,8.75,26.5,28.5,11.16,3.04,3.33,12.0
2022,1631214,Alondes,Williams,Alondes Williams,SG,75.75,77.0,209.0,79.0,102.0,7.2,8.5,9.25,30.0,35.5,10.96,3.11,3.15,10.0
2022,1631127,Harrison,Ingram,Harrison Ingram,SF,77.25,79.0,232.8,84.25,103.5,8.3,9.0,10.0,29.5,35.0,11.83,3.26,3.31,10.0
